Level,Text,Option1,Option2,Option3,Option4,AnswerIndex
1,What is a common physical change in aging?,Increased energy,Stronger bones,Reduced lung elasticity,Better eyesight,2
1,Which nutrient helps maintain strong bones in older adults?,Vitamin C,Calcium,Iron,Protein,1
1,What might an older adult experience more often?,Faster metabolism,Higher risk of falls,Rapid healing,More efficient digestion,1
1,Which sense often declines with age?,Taste,Touch,Hearing,Smell,2
1,Why is hydration important for seniors?,It makes skin younger,To prevent constipation and confusion,For better sleep,To improve memory,1
1,What is a major emotional challenge for some seniors?,Too much excitement,Loneliness and isolation,Over-scheduling,Fear of technology,1
1,How can young people best show respect to elders?,Ignoring them,Listening to their stories,Being impatient,Treating them like children,1
1,What helps maintain mental sharpness in older adults?,Staring at walls,Puzzles and learning new things,Only watching TV,Avoiding all activity,1
1,Is it true most seniors live in nursing homes?,Yes,No,Only if they are very rich,Only if they are very poor,1
1,Why is social interaction vital?,To gossip,For mental health and well-being,To complain,To fill time,1
1,What is a safe way for seniors to exercise?,Strenuous weightlifting,Walking,Running marathons,No exercise at all,1
1,Which statement about older adults is a myth?,They can learn new things,They all have dementia,They enjoy hobbies,They value family,1
1,What is a common chronic condition in older adults?,Chickenpox,Arthritis,Measles,Flu,1
1,How should we address elderly concerns?,"Dismiss them as ""old age""",Listen patiently and help find solutions,Rush them,Tell them to ignore it,1
1,What helps prevent falls?,Slippery floors,Removing clutter & using grab bars,Heavy carpets,Darkness,1
2,An elder may need...,Respect,Noise,Conflict,Neglect,0
2,If elder is dizzy you should...,Ignore,Help them sit,Shout,Run away,1
3,Listening to elders shows...,Rudeness,Care,Danger,Hunger,1
